"253-8577","神奈川県茅ヶ崎市本村2丁目8－1 東陶機器　株式会社　茅ヶ崎工場","2012-05-07 10:05:51.000000"
"940-8501","新潟県長岡市幸町2丁目1－1 長岡市役所","2012-05-07 10:05:51.000000"
"390-8518","長野県松本市井川城2丁目1－1 松本電気鉄道　株式会社","2012-05-07 10:05:51.000000"
"466-8501","愛知県名古屋市昭和区滝子通1丁目16 愛知県名古屋南部県税事務所　高辻間税課","2012-05-07 10:05:51.000000"
"456-8588","愛知県名古屋市熱田区白鳥2丁目10－10 株式会社　山善　名古屋営業本部","2012-05-07 10:05:51.000000"
"479-8588","愛知県常滑市港町3丁目77 株式会社　ＩＮＡＸ　榎戸工場","2012-05-07 10:05:51.000000"
"479-8589","愛知県常滑市大谷字坂森50 株式会社　ＩＮＡＸ　大谷工場","2012-05-07 10:05:51.000000"
"479-8587","愛知県常滑市奥栄町1丁目47 株式会社　ＩＮＡＸ　常滑東工場","2012-05-07 10:05:51.000000"
"479-8585","愛知県常滑市鯉江本町5丁目1 株式会社　ＩＮＡＸ　本社","2012-05-07 10:05:51.000000"
"479-8623","愛知県常滑市大曽町3丁目1（常滑支店私書箱第8号） 株式会社　マキノ","2012-05-07 10:05:51.000000"
"479-8555","愛知県常滑市瀬木町2丁目70番地 知多半島ケーブルネットワーク　株式会社","2012-05-07 10:05:51.000000"
"520-3281","滋賀県湖南市朝国1 東陶機器　株式会社　滋賀工場","2012-05-07 10:05:51.000000"
"545-8558","大阪府大阪市阿倍野区三明町2丁目10－21 大阪府　なにわ南府税事務所","2012-05-07 10:05:51.000000"
"559-8522","大阪府大阪市住之江区南港北1丁目14－16大阪ワールドトレードセンタービルディング3Ｆ 関西インターメディア　（株）　ＦＭ．ＣＯ．ＣＯ．ＬＯ","2012-05-07 10:05:51.000000"
"541-8554","大阪府大阪市中央区高麗橋1丁目4－2 株式会社　日経ラジオ社　大阪支社","2012-05-07 10:05:51.000000"
"541-8539","大阪府大阪市中央区瓦町2丁目1－1 ＵＦＪニコス　株式会社","2012-05-07 10:05:51.000000"
"770-8522","徳島県徳島市佐古三番町12－8 徳島北社会保険事務所","2012-05-07 10:05:51.000000"
"770-8550","徳島県徳島市西新町2丁目5 徳島県中小企業団体中央会","2012-05-07 10:05:51.000000"
"802-8601","福岡県北九州市小倉北区中島2丁目1－1（北九州支店私書箱第56号） 東陶機器　株式会社","2012-05-07 10:05:51.000000"
"800-0293","福岡県北九州市小倉南区朽網東5丁目1－1 東陶機器株式会社　小倉第二工場","2012-05-07 10:05:51.000000"
"805-8516","福岡県北九州市八幡東区枝光本町8番1号 日鐵運輸　株式会社","2012-05-07 10:05:51.000000"
"812-8570","福岡県福岡市博多区住吉2丁目3－1 株式会社　ティー・エックス・エヌ九州","2012-05-07 10:05:51.000000"
"820-8555","福岡県飯塚市大字柏の森11－6 近畿大学　九州工学部","2012-05-07 10:05:51.000000"
"824-8510","福岡県行橋市大字今井1180番地 東陶機器　株式会社　行橋工場","2012-05-07 10:05:51.000000"
"841-8585","佐賀県鳥栖市立石町長蓮441－13 パナソニックファクトリーソリューションズ　株式会社　鳥栖事業所","2012-05-07 10:05:51.000000"
"870-0398","大分県大分市大字屋山300 東陶機器　株式会社　大分工場","2012-05-07 10:05:51.000000"
"871-8555","大分県中津市大字是則700番地 東陶機器　株式会社　中津工場","2012-05-07 10:05:51.000000"
"904-0495","沖縄県国頭郡恩納村字谷茶1919－1 沖縄科学技術基盤整備機構（ＯＩＳＴ）","2012-05-07 10:05:51.000000"
